Massages / autres traitements préventifs d’escarres;Thérapies sur prescription médicale;10616;C;20;"dévêtir les parties du corps à masser
 appliquer la pommade et frictionner, ou faire autres traitements préventifs d’escarres
 aider le client à se rhabiller";let. c ch. 1;1
Médication i.v. (cathéter veineux permanent, inclus port-a-Cath);Thérapies sur prescription médicale;10607;B;15;"consulter le relevé de la prescription médicale et consulter le prospectus du médicament
 préparer l’injection dans les règles de l’art
 vérifier le retour sanguin du cathéter veineux
 administrer le médicament dans les règles de l’art
 s’assurer que le client ne ressent pas d’inconfort
 observer les réactions du client
 rincer le système
 fermer ou retirer le cathéter";let. b ch. 9;1
Médication i.v. par le biais du robinet à trois voies;Thérapies sur prescription médicale;10605;B;9;"consulter le relevé de la prescription médicale
 au besoin, consulter le prospectus du médicament
 préparer l’injection dans les règles de l’art
 installer le client
 contrôler la perméabilité du système en place
 administrer le médicament dans les règles de l’art
 observer les réactions du client
 s’assurer du bon fonctionnement de la perfusion";let. b ch. 9;1
Perfusion avec ponction veineuse;Thérapies sur prescription médicale;10606;B;20;"consulter le relevé de la prescription médicale
 au besoin, consulter le prospectus du médicament
 préparer l’injection dans les règles de l’art
 installer la canule de perfusion dans la veine
 contrôler le flux et la perméabilité du système
 régler et observer la vitesse de la perfusion
 fixer le cathéter veineux
 contrôler à nouveau la vitesse de la perfusion
 observer les réactions du client";let. b ch. 9;1
Pose de voie veineuse;Thérapies sur prescription médicale;10612;B;12;"poser la voie veineuse périphérique à demeure (type Butterfly, Venflon, etc.) selon prescription médicale
 ponctionner la veine et mettre l’aiguille, canule ou cathéter en place
 fixer la canule et fermer l’orifice
 informer / conseiller le client";let. b ch. 5;1
Préparer les médicaments;Thérapies sur prescription médicale;10601;B;10;"préparer les médicaments selon prescription du médecin d’une manière
 adéquate pour les besoins quotidiens ou hebdomadaires
 assurer le ravitaillement en médicaments
 au besoin, établir une liste d’approvisionnement de médicaments à l’intention du médecin ou du pharmacien";let. b ch. 7;1
Présence pour thérapie par perfusion;Thérapies sur prescription médicale;10608;B;44;"consulter le relevé de la prescription médicale
 au besoin, consulter le prospectus du médicament
 contrôler la perfusion
 contrôler les signes vitaux et observer les réactions du client
 interrompre ou retirer la perfusion";let. b ch. 9;1
Rinçage de cathéter type Hickmann / port-a-cath;Thérapies sur prescription médicale;10613;B;11;"installer le client après explications
 rincer le cathéter selon instructions
 inspecter la peau environnante et la soigner au besoin
 informations / conseils au client";let. b ch. 9;1
Thérapie par perfusion ou pompe s.c;Thérapies sur prescription médicale;10614;B;20;"Description : thérapie par perfusion sous-cutanée
 préparer la perfusion
 au besoin, selon prescription médicale, ajouter un médicament favorisant la résorption
 faire la ponction sous-cutanée et relier la perfusion
 contrôler le débit de la perfusion
 contrôler l’état général du client
 informations / conseils au client et à l’entourage
 Description : thérapie par pompe sous-cutanée
 préparer la perfusion et la pompe
 purger le système
 faire la ponction sous-cutanée
 fixer l’aiguille
 relier le tuyau de la perfusion à l’aiguille
 régler les paramètres de la pompe selon les instructions du médecin
 informations / conseils au client et à l’entourage";let. b ch. 9;1
Transfusion sanguine;Thérapies sur prescription médicale;10610;B;120;"contrôle du groupe sanguin avec deuxième contrôle par une collègue
 consulter les prescriptions médicales et les indications du centre de transfusion ou du laboratoire
 préparer le sachet de sang
 pratiquer la ponction veineuse
 relier l’appareil de transfusion à l’accès veineux
 contrôler le débit sanguin
 observer les réactions du client
 contrôler la position du bras
 s’occuper du client pendant la transfusion
 contrôle permanent des signes vitaux avant, pendant et après la transfusion
 nettoyer l’endroit de la ponction après retrait de la transfusion, selon lesrègles de l’art
 instruire le client sur le comportement à avoir lors d’effets secondaires(complications ultérieures)
 documenter le n° de transfusion ainsi que l’état général du client";let. b ch. 9;1
Visite pour contrôle de perfusion;Thérapies sur prescription médicale;10609;B;12;"contrôler l’état général et les signes vitaux du client
 s’informer auprès du client ou de son entourage afin de savoir si la perfusion se déroule bien
 contrôler le retour sanguin comme preuve de la position correcte du cathéter dans la veine
 contrôler la vitesse du débit de la perfusion
 contrôler l’appareil de perfusion";let. b ch. 9;1
Consultation/directives à la personne;Psychiatrie;10001;A;30;;let. a ch. 2;1
Acquérir et exercer des stratégies permettant de gérer la maladie;Psychiatrie;10002;B;30;;let. b ch. 13;1
Surveiller et soutenir pour maîtriser des situations de crise et des phases diffi-ciles de la vie;Psychiatrie;10003;B;0;;let. b ch. 14;1
Entraîner l'accomplissement et les techniques quotidiennes (par ex. faire les courses, préparer le repas);Psychiatrie;10004;C;5;;let. c ch. 2;1
Planifier et structurer les journées de manière appropriée;Psychiatrie;10005;C;5;;let. c ch. 2;1
Entraîner l'établissement des contacts sociaux et l'organisation des relations;Psychiatrie;10006;C;5;;let. c ch. 2;1
Construction d'activité;Psychiatrie;10007;C;0;;let. c ch. 2;1
Administrer et/ou contrôler les médicaments;Psychiatrie;10008;B;15;;let. b ch. 7;1
Guider/soutenir l'entretien du logement;Psychiatrie;10009;C;0;;let. c ch. 2;1
Guider/soutenir les soins corporels;Psychiatrie;10010;C;50;;let. c ch. 1;1
Accompagner chez le médecin, à la clinique, dans d'autres institutions, dans les services publics;Psychiatrie;10011;C;0;;let. c ch. 2;1
Apprendre à la personne à faire des courses;Psychiatrie;10012;C;0;;let. c ch. 2;1
